iter	Passed	Remaining
933	2332	164
934	2338	162
935	2340	160
936	2344	157
937	2347	155
938	2348	152
939	2350	150
940	2352	147
941	2355	145
942	2356	142
943	2359	139
944	2360	137
945	2362	134
946	2366	132
947	2369	129
948	2371	127
949	2375	125
950	2377	122
951	2379	119
952	2381	117
953	2383	114
954	2385	112
955	2386	109
956	2388	107
957	2390	104
958	2391	102
959	2395	99
960	2398	97
961	2400	94
962	2401	92
963	2406	89
964	2407	87
965	2410	84
966	2413	82
967	2415	79
968	2417	77
969	2419	74
970	2420	72
971	2426	69
972	2428	67
973	2429	64
974	2436	62
975	2437	59
976	2440	57
977	2442	54
978	2443	52
979	2445	49
980	2447	47
981	2448	44
982	2450	42
983	2453	39
984	2458	37
985	2460	34
986	2463	32
987	2465	29
988	2466	27
989	2469	24
990	2471	22
991	2472	19
992	2474	17
993	2475	14
994	2477	12
995	2479	9
996	2483	7
997	2485	4
998	2487	2
999	2493	0
